"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=canis"
"Access Time","Thu 2017-02-02 20:44:42 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00192"
"Records Found","724"
"Records Returned","724"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184924","occ","30185","","18126","Canis ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"185469","occ","","","18201","""Canis"" sp.","genus","41198","","Canis","genus","41198","Hemphillian","","10.3","4.9","3510"
"186572","occ","","","18320","cf. Canis sp.","genus","41198","","Canis","genus","41198","Late Hemphillian","Blancan","10.3","1.8","6086"
"186878","occ","","","18359","Canis cf. lepophagus","species","44856","","Canis lepophagus","species","44856","Late Hemphillian","","10.3","4.9","3510"
"188816","occ","","","18737","Canis n. sp. ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","2596"
"188870","occ","","","18745","Canis cf. ferox","species","44840","","Canis ferox","species","44840","Hemphillian","","10.3","4.9","2596"
"189693","occ","","","18900","Canis sp.","genus","41198","","Canis","genus","41198","Hemphillian","","10.3","4.9","2886"
"192135","occ","30184","","19473","Canis ferox","species","44840","","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"192926","occ","8376","","19617","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","Irvingtonian","4.9","0.3","2673"
"192927","occ","30222","","19617","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Blancan","Irvingtonian","4.9","0.3","52058"
"192928","occ","","","19617","Canis latrans ?","species","44854","","Canis latrans","species","44854","Blancan","Irvingtonian","4.9","0.3","1813"
"193271","occ","8462","","19656","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
