"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=equidae&cc=ATA,AFR,ASI,AUS,EUR,IOC,NOA,OCE,SOA"
"Access Time","Sun 2017-03-12 04:52:56 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equidae"
"","cc","ATA,AFR,ASI,AUS,EUR,IOC,NOA,OCE,SOA"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.337"
"Records Found","3945"
"Records Returned","3945"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"11601","col","Jewett Sand","-118.848335","35.492779","Pyramid Hill Sand Member grit zone","","LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032","1","Aquitanian","","23.03","20.44","10315"
"11798","col","","102.066666","25.016666","Lufeng","","","2","Turolian","","8.7","5.333","10883"
"11799","col","","32.866669","39.933334","Yozgat","","","2","Late Miocene","Early Pliocene","11.608","3.6","4198"
"11803","col","","35.049999","32.716667","Tabun Cave Level C & D","","","2","Late Pleistocene","","0.126","0.0117","10604"
"12840","col","","1.733333","44.166668","Le Bretou","","Quercy Phosphorites","1","Bartonian","","41.3","38","7272"
"13060","col","","76.666664","31.533333","Ladhyani","","","1","Late Miocene","","11.608","5.333","4341"
"13066","col","","-84.800003","34.200001","Ladd's Quarry","","Ladd's Lime Kiln","1","Pleistocene","","2.588","0.0117","10272"
"13299","col","London Clay","0.833333","51.400002","London Clay, Isle of Sheppey","","","1","Ypresian","","56","47.8","4417"
"13322","col","","11.953611","51.321945","Geiseltal, Mittelkohle, Zone III (Middlecoal, zone III)","","","2","Lutetian","","47.8","41.3","11714"
"13451","col","Pismo","-120.733299","35.166698","Avilla Beach W","","UCMP V70148, UCMP V6616","1","Piacenzian","","3.6","2.588","6029"
"13455","col","Devakachar","79.109169","23.009167","GSI 20024","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13457","col","Narsingpur","79.187500","22.938889","GSI 20026","","","1","Pleistocene","Late Pleistocene","2.588","0.0117","6078"
"13458","col","Devakachar","77.875000","22.900000","GSI 20025","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13459","col","Devakachar","79.116669","23.009167","GSI 20027","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13460","col","Devakachar","79.116669","25.011110","GSI 20028","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13461","col","Devakachar","79.116669","23.009167","GSI 20032","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13462","col","Devakachar","77.972221","22.833332","GSI 20033","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13463","col","Devakachar","79.016670","23.033333","GSI 20035","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13464","col","Devakachar","79.108887","23.009722","GSI 20038","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13465","col","Devakachar","79.116669","23.011110","GSI 20034","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13466","col","Devakachar","77.861115","22.850000","GSI 20036","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13467","col","Devakachar","77.866669","22.840834","GSI 20037","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13468","col","Devakachar","77.898613","25.850000","GSI 20029","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13469","col","Devakachar","79.587502","23.111111","GSI 20030","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13470","col","Devakachar","77.866669","22.840834","GSI 20031","","","1","Late Pleistocene","","0.126","0.0117","6078"
"13471","col","","147.500000","71.000000","Lower Indigirka River","","","1","Late Pleistocene","","0.126","0.0117","6079"
"13472","col","Chinji","72.366669","32.683334","Chinji Stratotype Fauna","","","1","Middle Miocene","","15.97","11.608","6080"
"13473","col","Nagri","72.500000","32.766666","Nagri Stratotype Fauna","","","2","Late Miocene","","11.608","5.333","6080"
"13474","col","Dhok Pathan","72.516670","33.633331","Dhok Pathan Stratotype Fauna","","","2","Late Miocene","","11.608","5.333","6080"
"13477","col","","115.000000","41.000000","Shansi Rhinoceroses - 1","","","2","Late Miocene","","11.608","5.333","6093"
"13489","col","Chinji","71.655556","32.929169","Daud Khel Local Fauna","","","1","Tortonian","","11.62","7.246","10569"
"13490","col","","35.599998","33.000000","Jisr Banat Yaqub","","","1","Quaternary","Middle Pleistocene","2.588","0.126","10567"
"13679","col","Shungura","36.000000","5.040000","Omo - Member K4","","","1","Early Pleistocene","","2.588","0.781","7837"
"13949","col","","-97.900002","18.616667","Rancho Gerardo (Upper Unit)","","","1","Pleistocene","","2.588","0.0117","6175"
"13998","col","","37.599998","39.383301","Mugla Fauna","","","2","Late Miocene","","11.608","5.333","6183"
"15225","col","DeBeque","-107.900002","40.000000","Bone-anza","","UCM 78049; Kay's Locality; Scenery Gulch; Shooty Gulch; Tschuddi Gulch; 3 miles north of the mouth of Blacks Gulch","1","Wasatchian","","55.8","50.3","2078"
"15290","col","DeBeque","-107.599998","39.700001","Meniscotherium Hollow","","FMNH 240-41","1","Wasatchian","","55.8","50.3","2078"
"15293","col","DeBeque","-107.599998","39.700001","Galbreath Shelf","","FMNH 372-41","1","Wasatchian","","55.8","50.3","2078"
"15295","col","DeBeque","-107.599998","39.700001","First Draw West of Sharrard Park","","FMNH 118-C-47","1","Wasatchian","","55.8","50.3","2078"
"15309","col","DeBeque","-107.599998","39.700001","ERDA","","UCM 79030","1","Wasatchian","","55.8","50.3","2078"
"15362","col","DeBeque","-107.599998","39.700001","FMNH 480-41","","","1","Wasatchian","","55.8","50.3","2078"
"15370","col","DeBeque","-107.599998","39.700001","4 Points Hill (FMNH 68-41)","","","1","Wasatchian","","55.8","50.3","2078"
"15391","col","DeBeque","-108.199997","39.200001","Above Head of Bear Gulch (Lower)","","FMNH 500-41","1","Wasatchian","","55.8","50.3","2078"
"15399","col","DeBeque","-108.199997","39.200001","Perspiration Peak","","UCM 78087","1","Wasatchian","","55.8","50.3","2078"
"15402","col","DeBeque","-108.199997","39.200001","Above Head of Bear Gulch (Upper)","","FMNH 491-41","2","Wasatchian","","55.8","50.3","2078"
"15404","col","DeBeque","-107.599998","39.700001","Harley's Slope","","UCM 78093","1","Wasatchian","","55.8","50.3","2078"
"15406","col","DeBeque","-107.599998","39.700001","Dry Hollow Creek","","UCM 78036","1","Wasatchian","","55.8","50.3","2078"
"15429","col","","-108.099998","40.599998","Above Alheit Pocket","","","1","Wasatchian","","55.8","50.3","1915"
