"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=equus"
"Access Time","Thu 2017-02-02 21:29:11 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0472"
"Records Found","1631"
"Records Returned","1631"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138839","occ","","","11803","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","10604"
"150903","occ","","","13455","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6077"
"150904","occ","","","13457","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Pleistocene","Late Pleistocene","2.588","0.0117","6078"
"150905","occ","","","13458","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150906","occ","","","13459","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150907","occ","","","13460","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150908","occ","","","13461","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150909","occ","","","13462","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150910","occ","","","13464","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150911","occ","","","13465","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
