"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=plantae&cc=EUR,NOA&show=acconly"
"Access Time","Mon 2017-03-13 02:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","plantae"
"","cc","EUR,NOA"
"","timerule","major"
"","taxon_status","all"
"","show","acconly"
"Elapsed Time","1.63"
"Records Found","37803"
"Records Returned","37803"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"3285","occ","","","324","Tetradium","genus","5083","Blackriveran","","460.9","449.5","60987"
"3679","occ","","","335","Tetradium","genus","5083","Middle Ordovician","","470","458.4","61112"
"4409","occ","","","368","Tetradium","genus","5083","Richmondian","","449.5","443.7","61146"
"4534","occ","12727","","374","Tetradium huronense","species","327177","Richmondian","","449.5","443.7","11467"
"5487","occ","","","392","Tetradium","genus","5083","Richmond","Ashgill","449.5","443.7","316"
"5617","occ","","","393","Tetradium","genus","5083","Richmondian","Ashgill","449.5","443.7","316"
"5698","occ","","","394","Tetradium","genus","5083","Richmondian","Ashgill","449.5","443.7","316"
"5821","occ","","","395","Tetradium","genus","5083","Richmondian","","449.5","443.7","316"
"72864","occ","","","5328","Tetradium","genus","5083","Blackriveran","","460.9","449.5","317"
"72932","occ","","","5329","Tetradium","genus","5083","Blackriveran","","460.9","449.5","317"
"73031","occ","","","5331","Tetradium","genus","5083","Blackriveran","","460.9","449.5","317"
"73130","occ","","","5333","Tetradium","genus","5083","Rocklandian","","460.9","449.5","317"
"73131","occ","","","5333","Tetradium","genus","5083","Rocklandian","","460.9","449.5","317"
"73336","occ","","","5346","Tetradium","genus","5083","Rocklandian","","460.9","449.5","317"
"73421","occ","","","5351","Tetradium","genus","5083","Shermanian","","460.9","449.5","317"
"73606","occ","","","5358","Tetradium","genus","5083","Shermanian","","460.9","449.5","317"
"73607","occ","","","5358","Tetradium","genus","5083","Shermanian","","460.9","449.5","317"
"73630","occ","","","5359","Tetradium","genus","5083","Shermanian","","460.9","449.5","317"
"73652","occ","","","5361","Tetradium","genus","5083","Shermanian","","460.9","449.5","317"
"73983","occ","","","5371","Tetradium","genus","5083","Franklinian","Edenian","460.9","449.5","317"
"77082","occ","","","1573","Plantae","kingdom","54311","Oxfordian","","163.5","157.3","41"
"77169","occ","","","1567","Plantae","kingdom","54311","Oxfordian","","163.5","157.3","41"
"84889","occ","","","6160","Emphanisporites","genus","277986","Lochkovian","","419.2","410.8","388"
"84905","occ","","","6162","Emphanisporites","genus","277986","Lochkovian","","419.2","410.8","388"
