Species	Status	min_age	max_age
Hipparion	extinct	5.333	8.7
Hipparion	extinct	3.6	11.608
Equidae	extinct	3.6	11.608
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Hipparion	extinct	5.333	11.608
Equus	extinct	0.0117	0.126
Equus	extinct	0.0117	2.588
Equus	extinct	0.0117	0.126
Equus	extinct	0.0117	0.126
Equus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus_(Hemionus)_hemionus	extinct	0.0117	0.126
Equus	extinct	0.0117	0.126
Equus	extinct	0.0117	0.126
Equus	extinct	0.0117	0.126
Equus	extinct	0.0117	0.126
Hipparion	extinct	11.608	15.97
Hipparion	extinct	5.333	11.608
Hipparion	extinct	5.333	11.608
Hipparion	extinct	5.333	11.608
Hipparion	extinct	5.333	11.608
Hypohippus	extinct	5.333	11.608
Hipparion	extinct	5.333	11.608
Hipparion	extinct	5.333	23.03
Equus	extinct	0.781	2.588
Equus	extinct	0.0117	2.588
Hipparion	extinct	5.333	11.608
Hipparion	extinct	5.333	11.608
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus_craspedotum	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Xenicohippus	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Eohippus_angustidens	extinct	50.3	55.8
Xenicohippus	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_pernix	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Xenicohippus_grangeri	extinct	50.3	55.8
Protorohippus_montanum	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_sandrae	extinct	48.6	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Protorohippus_venticolum	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Eohippus_angustidens	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Minippus_index	extinct	50.3	55.8
Eohippus_angustidens	extinct	50.3	55.8
Xenicohippus_osborni	extinct	50.3	55.8
Eohippus_angustidens	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	48.6	55.8
Arenahippus_aemulor	extinct	48.6	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Equidae	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Arenahippus_aemulor	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
Sifrhippus_grangeri	extinct	50.3	55.8
