Species	Status
Acritohippus_isonesus	extinct
Acritohippus_quinni	extinct
Acritohippus_stylodontus	extinct
Acritohippus_tertius	extinct
Anchitheriinae	extinct
Anchitherium	extinct
Anchitherium_aurelianense	extinct
Anchitherium_clarencei	extinct
Anchitherium_navasotae	extinct
Archaeohippus	extinct
Archaeohippus_blackbergi	extinct
Archaeohippus_mannulus	extinct
Archaeohippus_minutalis	extinct
Archaeohippus_mourningi	extinct
Archaeohippus_penultimus	extinct
Archaeohippus_stenolophus	extinct
Archaeohippus_ultimus	extinct
Arenahippus_aemulor	extinct
Arenahippus_pernix	extinct
Astrohippus	extinct
Astrohippus_ansae	extinct
Astrohippus_stockii	extinct
Boreohippidion_galushai	extinct
Calippus	extinct
Calippus_(Calippus)	extinct
Calippus_cerasinus	extinct
Calippus_circulus	extinct
Calippus_elachistus	extinct
Calippus_hondurensis	extinct
Calippus_maccartyi	extinct
Calippus_martini	extinct
Calippus_placidus	extinct
Calippus_proplacidus	extinct
Calippus_regulus	extinct
Cormohipparion	extinct
Cormohipparion_emsliei	extinct
Cormohipparion_fricki	extinct
Cormohipparion_goorisi	extinct
Cormohipparion_ingenuum	extinct
Cormohipparion_johnsoni	extinct
Cormohipparion_matthewi	extinct
Cormohipparion_merriami	extinct
Cormohipparion_occidentale	extinct
Cormohipparion_plicatile	extinct
Cormohipparion_quinni	extinct
Cormohipparion_skinneri	extinct
Cormohipparion_sphenodus	extinct
Desmatippus	extinct
Desmatippus_avus	extinct
Desmatippus_integer	extinct
Desmatippus_nebrascensis	extinct
Desmatippus_texanus	extinct
Desmatippus_tyleri	extinct
Dinohippus	extinct
Dinohippus_interpolatus	extinct
Dinohippus_leardi	extinct
Dinohippus_leidyanus	extinct
Dinohippus_mexicanus	extinct
Duchesnehippus_intermedius	extinct
Eohippus_angustidens	extinct
Epihippus	extinct
Epihippus_gracilis	extinct
Equidae	extinct
Equinae	extinct
Equini	extinct
Equus	extinct
Equus_(Amerhippus)_andium	extinct
Equus_(Amerhippus)_insulatus	extinct
Equus_(Amerhippus)_martinei	extinct
Equus_(Amerhippus)_santaeelenae	extinct
Equus_(Asinus)_kiang	extinct
Equus_(Dolichohippus)	extinct
Equus_(Dolichohippus)_enormis	extinct
Equus_(Dolichohippus)_grevyi	extinct
Equus_(Dolichohippus)_simplicidens	extinct
Equus_(Hemionus)	extinct
Equus_(Hemionus)_hemionus	extinct
Equus_(Hesperohippus)_mexicanus	extinct
Equus_(Plesippus)_crenidens	extinct
Equus_alaskae	extinct
Equus_asinus	extinct
Equus_caballus	extant
Equus_capensis	extinct
Equus_complicatus	extinct
Equus_conversidens	extinct
Equus_curvidens	extinct
Equus_excelsus	extinct
Equus_francisci	extinct
Equus_fraternus	extinct
Equus_fromanius	extinct
Equus_giganteus	extinct
Equus_idahoensis	extinct
Equus_leidyi	extinct
Equus_midlandensis	extinct
Equus_nalaikhaensis	extinct
Equus_niobrarensis	extinct
Equus_pacificus	extinct
Equus_pectinatus	extinct
Equus_proversus	extinct
Equus_przewalskii	extant
Equus_quagga	extant
Equus_quagga_burchelli	extinct
Equus_santaeelenae	extinct
Equus_scotti	extinct
Equus_tabeti	extinct
Equus_yunnanensis	extinct
Equus_zebra	extant
Eurohippus_parvulus	extinct
Eurygnathohippus	extinct
Eurygnathohippus_afarense	extinct
Eurygnathohippus_albertense	extinct
Eurygnathohippus_hasumense	extinct
Eurygnathohippus_libycum	extinct
Eurygnathohippus_turkanense	extinct
Haplohippus_texanus	extinct
Heteropliohippus_hulberti	extinct
Hipparion	extinct
Hipparion_chiai	extinct
Hipparion_concudense	extinct
Hipparion_condoni	extinct
Hipparion_crassum	extinct
Hipparion_dietrichi	extinct
Hipparion_fissurae	extinct
Hipparion_forcei	extinct
Hipparion_gromovae	extinct
Hipparion_laromae	extinct
Hipparion_longipes	extinct
Hipparion_macedonicum	extinct
Hipparion_matthewi	extinct
Hipparion_mediterraneum	extinct
Hipparion_molayanense	extinct
Hipparion_periafricanum	extinct
Hipparion_phlegrae	extinct
Hipparion_rocinantis	extinct
Hipparion_shirleyae	extinct
Hipparion_tehonense	extinct
Hipparion_weihoense	extinct
Hipparionini	extinct
Hippidion	extinct
Hippidion_devillei	extinct
Hippidion_principale	extinct
Hippidion_saldiasi	extinct
Hippotherium	extinct
Hippotherium_primigenium	extinct
Hypohippus	extinct
Hypohippus_affinis	extinct
Hypohippus_chico	extinct
Hypohippus_equinus	extinct
Hypohippus_nevadensis	extinct
Hypohippus_osborni	extinct
Hypohippus_pertinax	extinct
Kalobatippus	extinct
Kalobatippus_agatensis	extinct
Kalobatippus_australis	extinct
Kalobatippus_avus	extinct
Megahippus	extinct
Megahippus_matthewi	extinct
Megahippus_mckennai	extinct
Merychippus	extinct
Merychippus_brevidontus	extinct
Merychippus_calamarius	extinct
Merychippus_californicus	extinct
Merychippus_coloradense	extinct
Merychippus_gunteri	extinct
Merychippus_insignis	extinct
Merychippus_primus	extinct
Merychippus_quintus	extinct
Merychippus_relictus	extinct
Merychippus_republicanus	extinct
Merychippus_sejunctus	extinct
Merychippus_stevensi	extinct
Mesohippus	extinct
Mesohippus_bairdi	extinct
Mesohippus_exoletus	extinct
Mesohippus_propinquus	extinct
Mesohippus_texanus	extinct
Mesohippus_westoni	extinct
Minippus_index	extinct
Miohippus	extinct
Miohippus_anceps	extinct
Miohippus_annectens	extinct
Miohippus_assiniboiensis	extinct
Miohippus_equiceps	extinct
Miohippus_equinanus	extinct
Miohippus_gemmarosae	extinct
Miohippus_gidleyi	extinct
Miohippus_grandis	extinct
Miohippus_intermedius	extinct
Miohippus_obliquidens	extinct
Miohippus_taxus	extinct
Nannippus	extinct
Nannippus_aztecus	extinct
Nannippus_beckensis	extinct
Nannippus_minor	extinct
Nannippus_morgani	extinct
Nannippus_peninsulatus	extinct
Nannippus_westoni	extinct
Neohipparion	extinct
Neohipparion_affine	extinct
Neohipparion_eurystyle	extinct
Neohipparion_gidleyi	extinct
Neohipparion_leptode	extinct
Neohipparion_trampasense	extinct
Orohippus	extinct
Orohippus_major	extinct
Orohippus_proteros	extinct
Orohippus_pumilus	extinct
Orohippus_sylvaticus	extinct
Parahipparion_saldiasi	extinct
Parahippus	extinct
Parahippus_atavus	extinct
Parahippus_cognatus	extinct
Parahippus_leonensis	extinct
Parahippus_maxsoni	extinct
Parahippus_pawniensis	extinct
Parahippus_pristinus	extinct
Parahippus_wyomingensis	extinct
Parapliohippus	extinct
Parapliohippus_carrizoensis	extinct
Plesiohipparion	extinct
Pliohippus	extinct
Pliohippus_coalingensis	extinct
Pliohippus_fairbanksi	extinct
Pliohippus_fossulatus	extinct
Pliohippus_mirabilis	extinct
Pliohippus_nobilis	extinct
Pliohippus_pernix	extinct
Pliohippus_potosinus	extinct
Pliohippus_spectans	extinct
Pliolophus_barnesi	extinct
Pliolophus_vulpiceps	extinct
Protohippus	extinct
Protohippus_gidleyi	extinct
Protohippus_lenticularis	extinct
Protohippus_perditus	extinct
Protohippus_supremus	extinct
Protohippus_vetus	extinct
Protorohippus_montanum	extinct
Protorohippus_venticolum	extinct
Pseudhipparion	extinct
Pseudhipparion_curtivallum	extinct
Pseudhipparion_gratum	extinct
Pseudhipparion_hessei	extinct
Pseudhipparion_retrusum	extinct
Pseudhipparion_simpsoni	extinct
